id,lon,lat,taxonomy,structural,night,number,heritage,retrofit,SA1
1016,116.777247656,-31.872218231,Timber_Modern,538271.0,2.15106146,1.0,NH,2,50902124504
1027,116.778247394,-31.871480671,Timber_Modern,541797.0,2.15106146,1.0,NH,2,50902124504
1030,116.778207465,-31.870886142,Timber_Modern,541797.0,2.15106146,1.0,NH,2,50902124504
1035,116.77717852,-31.870984051,Timber_Modern,554624.0,2.15106146,1.0,NH,2,50902124504
1041,116.777043802,-31.87040757,Timber_Modern,554624.0,2.15106146,1.0,NH,2,50902124504
1033,116.779702342,-31.870565913,Timber_Modern,554624.0,2.15106146,1.0,NH,2,50902124504
1037,116.780759,-31.870295,URM_Modern,559888.0,2.15106146,1.0,NH,2,50902124504
1043,116.781677506,-31.87015466,Timber_Modern,538271.0,2.15106146,1.0,NH,2,50902124504
1053,116.78133755,-31.86957875,Timber_Modern,538271.0,2.15106146,1.0,NH,2,50902124504
1056,116.78239583,-31.869416898,Timber_Modern,520294.0,2.15106146,1.0,NH,2,50902124504
1060,116.78285469,-31.869256294,Timber_Modern,538271.0,2.15106146,1.0,NH,2,50902124504
1348,116.787238614,-31.876918128,Timber_Modern,220500.0,2.15106146,1.0,NH,2,50902124504
1020,116.785882467,-31.872215763,UA8_base,506080.0,2.15106146,1.0,NH,2,50902124504
1095,116.785803988,-31.871955685,Timber_Modern,506080.0,2.15106146,1.0,NH,2,50902124504
1005,116.785382605,-31.873477389,URM_Modern,494229.0,2.15106146,1.0,NH,2,50902124504
895,116.786382297,-31.875349801,Timber_Modern,509179.0,2.15106146,1.0,NH,2,50902124504
1344,116.789343317,-31.878048373,Timber_Modern,605495.0,2.15106146,1.0,NH,2,50902124504
1341,116.790868269,-31.878424946,Timber_Modern,554790.0,2.15106146,1.0,NH,2,50902124504
1336,116.791047533,-31.878961091,Timber_Modern,526331.0,2.15106146,1.0,NH,2,50902124504
1332,116.791602048,-31.879922272,Timber_Modern,597795.0,2.15106146,1.0,NH,2,50902124504
1267,116.790977563,-31.881149728,URM_Modern,491969.0,2.15106146,1.0,NH,2,50902124504
1324,116.792237754,-31.882210155,Timber_Modern,133100.0,2.15106146,1.0,NH,2,50902124504
1321,116.792308965,-31.882833789,Timber_Modern,163266.0,2.15106146,1.0,NH,2,50902124504
1316,116.794181602,-31.883291364,Timber_Modern,283819.0,2.15106146,1.0,NH,2,50902124504
1313,116.793789684,-31.884425904,Timber_Modern,297990.0,2.15106146,1.0,NH,2,50902124504
1312,116.79431807,-31.885020166,Timber_Modern,654389.0,2.15106146,1.0,NH,2,50902124504
1310,116.794226996,-31.886077525,Timber_Modern,479469.0,2.15106146,1.0,NH,2,50902124504
512,116.799634615,-31.850469751,Timber_Modern,398584.0,2.00832971,1.0,NH,2,50902124505
516,116.80212295,-31.849032576,URM_Modern,532260.0,2.00832971,1.0,NH,2,50902124505
518,116.804062441,-31.848543694,URM_Modern,466743.0,2.00832971,1.0,NH,2,50902124505
520,116.804601937,-31.848489561,UA7_base,375294.0,2.00832971,1.0,NH,2,50902124505
1400,116.771585402,-31.8990230597,Timber_Modern,484948.0,1.586,1.0,NH,2,50902124508
1383,116.771722129,-31.898243985,UA1_base,381936.0,1.58614336,1.0,H,2,50902124508
1386,116.77119217,-31.89788432,UA1_full,316354.0,1.58614336,1.0,H,2,50902124508
1403,116.771881388,-31.8970429577,URM_Modern,226072.0,1.586,1.0,NH,2,50902124508
1387,116.771032173,-31.897765099,UA1_full,471609.0,1.58614336,1.0,NH,2,50902124508
1390,116.77057374,-31.897739471,Timber_Modern,388547.0,1.58614336,1.0,NH,2,50902124508
1396,116.770707862,-31.897087543,UA7_full,555201.0,1.58614336,1.0,H,2,50902124508
1391,116.77072668,-31.897512446,UA7_full,536836.0,1.58614336,1.0,H,2,50902124508
1395,116.770363054,-31.897313742,UA1_full,319795.0,1.58614336,1.0,H,2,50902124508
1398,116.770468843,-31.896793596,UA1_full,584775.0,1.58614336,1.0,H,2,50902124508
1455,116.769572333,-31.896140642,UA1_base,421082.0,1.58614336,1.0,H,2,50902124508
1456,116.769491838,-31.896026187,UA1_base,370813.0,1.58614336,1.0,H,2,50902124508
1461,116.769119209,-31.895568262,UA1_full,663692.0,1.58614336,1.0,NH,2,50902124508
1464,116.768940278,-31.895357724,URM_Modern,284433.0,1.58614336,1.0,NH,2,50902124508
1469,116.768551661,-31.894899608,URM_Modern,515212.0,1.58614336,1.0,NH,2,50902124508
1452,116.76895854,-31.8944911908,13_LBM_C_Modern,211777.0,0.0,1.0,NH,2,50902124508
1484,116.769059239,-31.894462519,ISS_SS_S_Modern,213706.0,0.0,1.0,NH,2,50902124508
1471,116.768652114,-31.894735807,UA8_base,344500.0,1.58614336,1.0,NH,2,50902124508
1485,116.768835686,-31.894067251,ISS_SS_S_Modern,3093660.0,0.0,1.0,NH,2,50902124508
1473,116.768353113,-31.894499357,UA8_base,385260.0,1.58614336,1.0,H,2,50902124508
1360,116.768404682,-31.894311345,UA3_full,3123845.0,0.0,1.0,H,2,50902124508
186,116.768480721,-31.892831436,UA1_full,496765.0,1.58614336,1.0,NH,2,50902124508
1487,116.767926285,-31.893335054,ISS_SS_S_Modern,1396385.0,0.0,1.0,NH,2,50902124508
210,116.76855923,-31.891994459,UA1_full,475433.0,1.58614336,1.0,NH,2,50902124508
199,116.768010968,-31.892326639,13_LBM_C_Modern,694298.0,1.58614336,1.0,NH,2,50902124508
226,116.768611227,-31.891540793,UA1_full,660330.0,1.58614336,1.0,NH,2,50902124508
369,116.768575448,-31.891236792,UA8_base,1056442.0,0.0,1.0,NH,2,50902124508
317,116.768098138,-31.892066311,UA1_base,454192.0,1.58614336,1.0,NH,2,50902124508
449,116.768572896,-31.890961528,UA3_full,390728.0,0.0,1.0,NH,2,50902124508
222,116.768123323,-31.891617401,UA7_full,312278.0,1.58614336,1.0,H,2,50902124508
370,116.76814843,-31.891054713,UA2_full,3087407.0,0.0,1.0,H,2,50902124508
450,116.768727128,-31.890658594,ISS_SS_S_Modern,2564440.0,0.0,1.0,NH,2,50902124508
372,116.768203351,-31.890665623,UA6_full,1996096.0,0.0,1.0,NH,2,50902124508
374,116.768286449,-31.890488204,13_S_URM_Modern,1579809.0,0.0,1.0,NH,2,50902124508
376,116.768309106,-31.89011311,UA4_full,1144746.0,0.0,1.0,H,2,50902124508
366,116.768329428,-31.8895014216,UA3_full,14829259.0,0.0,1.0,H,2,50902124508
377,116.768230041,-31.889742041,UA2_full,14829259.0,0.0,1.0,NH,2,50902124508
451,116.76863117,-31.889710541,UA2_full,1644181.0,0.0,1.0,H,2,50902124508
215,116.768129174,-31.88943128,UA3_full,2579618.0,0.0,1.0,H,2,50902124508
379,116.768292993,-31.8893091205,UA3_full,2579618.0,0.0,1.0,NH,2,50902124508
390,116.768620506,-31.889382774,UA3_full,2216599.0,0.0,1.0,H,2,50902124508
216,116.767947865,-31.88922005,13_S_O_Modern,6065202.0,0.0,1.0,NH,2,50902124508
454,116.768625953,-31.889311248,UA6_full,767923.0,0.0,1.0,NH,2,50902124508
455,116.768642578,-31.889198232,UA3_full,1540658.0,0.0,1.0,H,2,50902124508
380,116.768304817,-31.889157671,UA3_full,1603076.0,0.0,1.0,H,2,50902124508
355,116.768266121,-31.888973973,UA4_base,1584043.0,0.0,1.0,H,2,50902124508
397,116.768621635,-31.888705251,UA5_full,766614.0,1.58614336,1.0,H,2,50902124508
1,116.767975716,-31.888732709,UA2_base,19488350.0,0.0,1.0,H,2,50902124508
18,116.767340275,-31.8886476534,13_S_URM_Modern,19488350.0,0.0,1.0,NH,2,50902124508
20,116.768253067,-31.88872921,UA3_base,999534.0,2.00597015,1.0,H,2,50902124508
383,116.768626704,-31.888430054,UA5_full,2227572.0,0.0,1.0,H,2,50902124508
17,116.7682448,-31.888508979,UA3_full,1465198.0,0.0,1.0,H,2,50902124508
389,116.768634926,-31.888193501,UA7_full,8161823.0,0.0,1.0,H,2,50902124508
2,116.768238071,-31.888383921,UA7_base,1295530.0,0.0,1.0,NH,2,50902124508
384,116.768764035,-31.887844534,ISS_SS_S_Modern,2984930.0,0.0,1.0,NH,2,50902124508
16,116.768249083,-31.888300538,UA6_full,1102647.0,0.0,1.0,NH,2,50902124508
3,116.768253366,-31.888168875,UA2_base,647929.0,0.0,1.0,H,2,50902124508
15,116.767502201,-31.888111973,URM_Modern,647929.0,0.0,1.0,NH,2,50902124508
4,116.768211461,-31.887873377,UA6_base,1348008.0,0.0,1.0,H,2,50902124508
385,116.768636419,-31.887493738,UA1_full,2096900.0,0.0,1.0,H,2,50902124508
5,116.768235344,-31.887620659,UA3_full,2254704.0,0.0,1.0,H,2,50902124508
386,116.768616133,-31.88731012,UA6_base,2296481.0,0.0,1.0,H,2,50902124508
6,116.768155555,-31.887490151,UA7_base,5522529.0,0.0,1.0,H,2,50902124508
387,116.768595061,-31.887151529,UA1_full,1036205.0,0.0,1.0,H,2,50902124508
12,116.768234687,-31.887232877,UA1_base,308296.0,1.58614336,1.0,H,2,50902124508
13,116.767951531,-31.887167442,Timber_Modern,308296.0,1.58614336,1.0,NH,2,50902124508
14,116.767818281,-31.887238826,Timber_Modern,308296.0,1.58614336,1.0,NH,2,50902124508
22,116.76810302,-31.88720584,Timber_Modern,308296.0,1.58614336,1.0,NH,2,50902124508
400,116.768657567,-31.886952042,UA1_base,768967.0,1.58614336,1.0,H,2,50902124508
402,116.768783809,-31.886422706,Timber_Modern,730663.0,2.02040816,1.0,NH,2,50902124516
25,116.768158406,-31.886861953,UA1_full,431885.0,1.58614336,1.0,NH,2,50902124508
403,116.768669256,-31.886183552,URM_Modern,457093.0,2.02040816,1.0,NH,2,50902124516
8,116.768124356,-31.886222756,UA7_base,6384264.0,0.0,1.0,H,2,50902124516
11,116.767778424,-31.88636635,UA7_base,6384264.0,0.0,1.0,NH,2,50902124516
404,116.768574375,-31.885986064,UA8_base,321473.0,2.02040816,1.0,NH,2,50902124516
405,116.76863029,-31.885881922,UA1_full,312860.0,2.02040816,1.0,NH,2,50902124516
406,116.768613488,-31.88542418,Timber_Modern,210231.0,2.02040816,1.0,NH,2,50902124516
407,116.768637423,-31.88521556,UA1_base,359934.0,2.02040816,1.0,NH,2,50902124516
9,116.768212199,-31.884998955,UA7_base,3230929.0,0.0,1.0,H,2,50902124516
19,116.767851979,-31.8851601337,UA1_full,3230929.0,0.0,1.0,NH,2,50902124516
408,116.768626381,-31.885044698,UA8_base,281099.0,2.02040816,1.0,NH,2,50902124516
410,116.768656023,-31.884887643,URM_Modern,455915.0,2.02040816,1.0,NH,2,50902124516
412,116.76871786,-31.884413494,Timber_Modern,438904.0,2.02040816,1.0,NH,2,50902124516
415,116.768902528,-31.884072862,Timber_Modern,360529.0,2.02040816,1.0,NH,2,50902124516
416,116.768851985,-31.883818182,UA8_base,346099.0,2.02040816,1.0,NH,2,50902124516
417,116.768217972,-31.883739745,ISS_URM_PS_Modern,486574.0,2.02040816,1.0,NH,2,50902124516
418,116.768289898,-31.88357217,URM_Modern,445675.0,2.02040816,1.0,NH,2,50902124516
419,116.768289661,-31.883417023,URM_Modern,491436.0,2.02040816,1.0,NH,2,50902124516
420,116.769089594,-31.883077078,UA1_base,411227.0,2.02040816,1.0,NH,2,50902124516
421,116.769125761,-31.882925881,UA1_base,457499.0,2.02040816,1.0,NH,2,50902124516
422,116.769488377,-31.882654747,URM_Modern,538271.0,2.02040816,1.0,NH,2,50902124516
423,116.769272987,-31.88220678,UA1_base,444287.0,2.02040816,1.0,NH,2,50902124516
425,116.769540346,-31.882015157,Timber_Modern,373672.0,2.02040816,1.0,NH,2,50902124516
424,116.768931355,-31.882025859,UA1_base,230475.0,2.02040816,1.0,NH,2,50902124516
426,116.769392643,-31.881735487,UA1_base,433018.0,2.02040816,1.0,H,2,50902124516
427,116.768981923,-31.881661372,URM_Modern,333782.0,2.02040816,1.0,NH,2,50902124516
429,116.769793966,-31.881268077,Timber_Modern,470123.0,2.02040816,1.0,NH,2,50902124516
434,116.769695214,-31.88099955,Timber_Modern,400073.0,2.02040816,1.0,NH,2,50902124516
438,116.769850307,-31.880690402,Timber_Modern,524710.0,2.02040816,1.0,NH,2,50902124516
437,116.769109131,-31.880774201,UA1_base,444504.0,2.02040816,1.0,NH,2,50902124516
443,116.769804579,-31.880401904,Timber_Modern,462908.0,2.02040816,1.0,NH,2,50902124516
445,116.769047404,-31.880429432,Timber_Modern,541797.0,2.02040816,1.0,NH,2,50902124516
778,116.76985635,-31.880081241,URM_Modern,538271.0,2.02040816,1.0,NH,2,50902124516
788,116.769229525,-31.879789847,UA8_base,383883.0,4.0,1.0,NH,2,50902124516
786,116.769855523,-31.879814392,Timber_Modern,441389.0,2.02040816,1.0,NH,2,50902124516
803,116.769239372,-31.879345757,Timber_Modern,427322.0,2.02040816,1.0,NH,2,50902124516
797,116.76973473,-31.879480081,UA1_base,294142.0,2.02040816,1.0,NH,2,50902124516
811,116.769244559,-31.879068483,URM_Modern,383421.0,2.02040816,1.0,NH,2,50902124516
804,116.769819282,-31.879234097,UA1_base,594126.0,2.02040816,1.0,NH,2,50902124516
816,116.769782272,-31.878892578,UA1_base,290310.0,2.02040816,1.0,NH,2,50902124516
822,116.769311454,-31.878697237,Timber_Modern,401772.0,2.02040816,1.0,NH,2,50902124516
829,116.769340428,-31.878514141,Timber_Modern,333274.0,2.02040816,1.0,NH,2,50902124516
824,116.769828883,-31.878631602,UA1_base,414823.0,2.02040816,1.0,NH,2,50902124516
834,116.770027223,-31.877944299,Timber_Modern,559274.0,2.02040816,1.0,NH,2,50902124516
841,116.769942129,-31.877461981,UA1_base,538271.0,2.02040816,1.0,NH,2,50902124516
868,116.769943567,-31.876653959,UA8_base,367438.0,2.02040816,1.0,NH,2,50902124516
880,116.769917923,-31.876315028,URM_Modern,479678.0,2.02040816,1.0,NH,2,50902124516
889,116.769793459,-31.87603738,Timber_Modern,353304.0,2.02040816,1.0,NH,2,50902124516
899,116.769759539,-31.875814972,UA1_base,612710.0,2.02040816,1.0,NH,2,50902124516
886,116.76906256,-31.8760213,Timber_Modern,541609.0,2.02040816,1.0,NH,2,50902124516
907,116.769716133,-31.875628017,Timber_Modern,485923.0,2.02040816,1.0,NH,2,50902124516
1093,116.768935671,-31.875825588,Timber_Modern,738930.0,2.02,1.0,NH,2,50902124516
914,116.76961672,-31.875449762,UA1_base,381271.0,2.02040816,1.0,NH,2,50902124516
1094,116.768930912,-31.87555433,Timber_Modern,744350.0,2.02,1.0,NH,2,50902124516
926,116.769647479,-31.875218004,URM_Modern,551698.0,2.02040816,1.0,NH,2,50902124516
968,116.768655716,-31.874273976,Timber_Modern,442979.0,2.02040816,1.0,NH,2,50902124516
943,116.769694576,-31.874679798,Timber_Modern,458136.0,2.02040816,1.0,NH,2,50902124516
982,116.768569045,-31.873871398,Timber_Modern,621186.0,2.02040816,1.0,NH,2,50902124516
960,116.769943954,-31.874290478,Timber_Modern,671507.0,2.02040816,1.0,NH,2,50902124516
977,116.769895728,-31.873974916,Timber_Modern,358382.0,2.02040816,1.0,NH,2,50902124516
1002,116.767331459,-31.873671753,Timber_Modern,397575.0,2.02040816,1.0,NH,2,50902124516
1000,116.769180558,-31.873419804,Timber_Modern,315601.0,2.02040816,1.0,NH,2,50902124516
452,116.768614169,-31.889552881,UA4_full,1836870.9362499998,0.0,1.0,H,2,50902124508
382,116.76864164,-31.888963956,UA3_full,4971415.0,0.0,1.0,H,2,50902124508
185,116.768301447,-31.889099094,UA1_base,871117.0,0.0,1.0,H,2,50902124508
836,116.769173556,-31.878022641,URM_Modern,592764.0,2.02040816,1.0,NH,2,50902124516
794,116.768518155,-31.879545813,URM_Modern,538271.0,2.02040816,1.0,NH,2,50902124516
1280,116.774974461,-31.891252325,Timber_Modern,503026.0,1.88213166,1.0,NH,2,50902124506
1281,116.774435215,-31.891307534,Timber_Modern,239144.0,1.88213166,1.0,NH,2,50902124506
1476,116.77023692,-31.89311702,URM_Modern,541797.0,1.58614336,1.0,NH,2,50902124508
1409,116.762515283,-31.894862149,UA8_base,313913.0,1.58614336,1.0,NH,2,50902124508
648,116.757215159,-31.87913738,Timber_Modern,297350.0,2.34046848,1.0,NH,2,50902124515
651,116.757113175,-31.878971886,Timber_Modern,366842.0,2.34046848,1.0,NH,2,50902124515
656,116.756944804,-31.878863562,Timber_Modern,316333.0,2.34046848,1.0,NH,2,50902124515
659,116.75685701,-31.87846317,Timber_Modern,326347.0,2.34046848,1.0,NH,2,50902124515
1317,116.795061788,-31.883949617,Timber_Modern,559888.0,2.15106146,1.0,NH,2,50902124504
1327,116.797819731,-31.881183712,Timber_Modern,520294.0,2.15106146,1.0,NH,2,50902124504
1354,116.790988341,-31.8764013,Timber_Modern,471979.0,2.15106146,1.0,NH,2,50902124504
1350,116.791172345,-31.877158412,Timber_Modern,512819.0,2.15106146,1.0,NH,2,50902124504
1352,116.793565281,-31.877093417,Timber_Modern,559888.0,2.15106146,1.0,NH,2,50902124504
1345,116.792347473,-31.877727832,Timber_Modern,334592.0,2.15106146,1.0,NH,2,50902124504
1342,116.791959822,-31.878816196,Timber_Modern,541797.0,2.15106146,1.0,NH,2,50902124504
1338,116.792341739,-31.879266803,Timber_Modern,566167.0,2.15106146,1.0,NH,2,50902124504
1346,116.794415215,-31.878099249,Timber_Modern,423914.0,2.15106146,1.0,NH,2,50902124504
1339,116.795198353,-31.879378991,Timber_Modern,429596.0,2.15106146,1.0,NH,2,50902124504
1333,116.792649865,-31.880194732,Timber_Modern,502715.0,2.15106146,1.0,NH,2,50902124504
1329,116.793879299,-31.881499491,Timber_Modern,235787.0,2.15106146,1.0,NH,2,50902124504
1331,116.795814239,-31.880793542,Timber_Modern,472462.0,2.15106146,1.0,NH,2,50902124504
1325,116.794701435,-31.881879319,Timber_Modern,671657.0,2.15106146,1.0,NH,2,50902124504
1322,116.795499705,-31.882807965,Timber_Modern,252885.0,2.15106146,1.0,NH,2,50902124504
1323,116.797958836,-31.882209852,Timber_Modern,331283.0,2.15106146,1.0,NH,2,50902124504
1319,116.797492361,-31.883103275,Timber_Modern,650680.0,2.15106146,1.0,NH,2,50902124504
1314,116.795531096,-31.884756063,Timber_Modern,606044.0,2.15106146,1.0,NH,2,50902124504
1315,116.798291169,-31.884744872,Timber_Modern,604932.0,2.15106146,1.0,NH,2,50902124504
1311,116.796115031,-31.885638392,Timber_Modern,554624.0,2.15106146,1.0,NH,2,50902124504
1291,116.773867139,-31.889543192,Timber_Modern,346269.0,1.88213166,1.0,NH,2,50902124506
1289,116.77380083,-31.889887079,UA7_base,253665.0,1.88213166,1.0,NH,2,50902124506
1287,116.773368328,-31.890174392,UA1_base,348956.0,1.88213166,1.0,NH,2,50902124506
223,116.763974083,-31.891374082,UA8_base,573126.0,1.58614336,1.0,NH,2,50902124508
217,116.763099695,-31.891485403,Timber_Modern,584014.0,1.58614336,1.0,NH,2,50902124508
242,116.76303556,-31.891029368,Timber_Modern,344786.0,1.58614336,1.0,NH,2,50902124508
239,116.762834885,-31.891054786,URM_Modern,291023.0,1.58614336,1.0,NH,2,50902124508
224,116.762788057,-31.891490855,Timber_Modern,378473.0,1.58614336,1.0,NH,2,50902124508
238,116.762629403,-31.891048186,UA8_base,365318.0,1.58614336,1.0,NH,2,50902124508
237,116.762428554,-31.891054126,UA8_base,338471.0,1.58614336,1.0,NH,2,50902124508
221,116.762339308,-31.891495394,Timber_Modern,493400.0,1.58614336,1.0,NH,2,50902124508
236,116.76219399,-31.891052241,Timber_Modern,268666.0,1.58614336,1.0,NH,2,50902124508
235,116.761980217,-31.891054691,UA1_base,452811.0,1.58614336,1.0,NH,2,50902124508
225,116.761825119,-31.891506058,UA1_full,454518.0,1.58614336,1.0,H,2,50902124508
233,116.761608443,-31.891080331,UA1_full,357305.0,1.58614336,1.0,H,2,50902124508
669,116.750955728,-31.87529842,UA1_base,423656.0,2.00832971,1.0,NH,2,50902124505
670,116.753234727,-31.874042197,Timber_Modern,338465.0,2.00832971,1.0,NH,2,50902124505
716,116.753691943,-31.874695023,URM_Modern,546222.0,2.00832971,1.0,NH,2,50902124505
672,116.754884457,-31.87337311,URM_Modern,343998.0,2.00832971,1.0,NH,2,50902124505
675,116.756351449,-31.872716719,URM_Modern,431799.0,2.00832971,1.0,NH,2,50902124505
679,116.757555429,-31.871565669,Timber_Modern,705015.0,2.00832971,1.0,NH,2,50902124505
743,116.761724663,-31.871181115,Timber_Modern,499764.0,2.00832971,1.0,NH,2,50902124505
689,116.761360642,-31.870742274,UA8_base,538271.0,2.00832971,1.0,H,2,50902124505
690,116.762919837,-31.870603234,Timber_Modern,641748.0,2.00832971,1.0,NH,2,50902124505
692,116.761527862,-31.870615692,Timber_Modern,262566.0,2.00832971,1.0,NH,2,50902124505
695,116.763814966,-31.870192291,URM_Modern,467191.0,2.00832971,1.0,NH,2,50902124505
704,116.762755661,-31.86946424,Timber_Modern,512448.0,2.00832971,1.0,NH,2,50902124505
700,116.764499037,-31.86981189,Timber_Modern,378660.0,2.00832971,1.0,NH,2,50902124505
711,116.764829024,-31.869189995,UA1_full,483686.0,2.00832971,1.0,H,2,50902124505
702,116.76488226,-31.869732544,URM_Modern,753038.0,2.00832971,1.0,NH,2,50902124505
714,116.766331037,-31.868116178,URM_Modern,563552.0,2.00832971,1.0,NH,2,50902124505
705,116.765474567,-31.869559292,URM_Modern,627251.0,2.34046848,1.0,NH,2,50902124515
721,116.754935806,-31.874159155,URM_Modern,561411.0,2.34046848,1.0,NH,2,50902124515
731,116.75910939,-31.873170075,Timber_Modern,724406.0,2.34046848,1.0,NH,2,50902124515
708,116.763497177,-31.869783294,UA1_base,591722.0,2.00832971,1.0,NH,2,50902124505
697,116.764247735,-31.869963885,URM_Modern,536167.0,2.02040816,1.0,NH,2,50902124516
1066,116.7669076,-31.868794595,URM_Modern,540427.0,2.02040816,1.0,NH,2,50902124516
1068,116.767310736,-31.868686986,URM_Modern,564141.0,2.02040816,1.0,NH,2,50902124516
1092,116.76732814,-31.867745941,URM_Modern,601712.0,2.00832971,1.0,NH,2,50902124505
1071,116.767748619,-31.868573126,Timber_Modern,499839.0,2.02040816,1.0,NH,2,50902124516
1075,116.768145474,-31.868363302,URM_Modern,562807.0,2.02040816,1.0,NH,2,50902124516
1079,116.76858032,-31.868180747,URM_Modern,554624.0,2.02040816,1.0,NH,2,50902124516
461,116.768727329,-31.867194249,URM_Modern,438684.0,2.00832971,1.0,NH,2,50902124505
1088,116.768996315,-31.867999544,Timber_Modern,567788.0,2.02040816,1.0,NH,2,50902124516
696,116.762130324,-31.870262482,Timber_Modern,278853.0,2.00832971,1.0,NH,2,50902124505
703,116.765160157,-31.869719583,URM_Modern,871637.0,2.00832971,1.0,NH,2,50902124505
1380,116.768762892,-31.899476258,Timber_Modern,382197.0,1.45318846,1.0,H,2,50902124509
1378,116.768966255,-31.901017753,Timber_Modern,216710.0,1.45318846,1.0,NH,2,50902124509
1377,116.767991327,-31.9007702,URM_Modern,451113.0,1.45318846,1.0,NH,2,50902124509
871,116.777781375,-31.876511069,Timber_Modern,405351.0,2.15106146,1.0,NH,2,50902124504
876,116.777965253,-31.876300095,Timber_Modern,459790.0,2.15106146,1.0,NH,2,50902124504
860,116.7785265,-31.87675807,Timber_Modern,554624.0,2.15106146,1.0,NH,2,50902124504
915,116.778660079,-31.87537688,Timber_Modern,312703.0,2.15106146,1.0,NH,2,50902124504
867,116.778591965,-31.876545427,Timber_Modern,291327.0,2.15106146,1.0,NH,2,50902124504
945,116.779147773,-31.874780145,Timber_Modern,246758.0,2.15106146,1.0,NH,2,50902124504
874,116.778764028,-31.876370412,Timber_Modern,564533.0,2.15106146,1.0,NH,2,50902124504
953,116.779311496,-31.874608981,Timber_Modern,274370.0,2.15106146,1.0,NH,2,50902124504
882,116.778922602,-31.876076639,Timber_Modern,362582.0,2.15106146,1.0,NH,2,50902124504
973,116.779632242,-31.874085012,Timber_Modern,532432.0,2.15106146,1.0,NH,2,50902124504
888,116.779120099,-31.875972597,URM_Modern,382513.0,2.15106146,1.0,NH,2,50902124504
985,116.77961924,-31.87380563,URM_Modern,438877.0,2.15106146,1.0,NH,2,50902124504
900,116.779454025,-31.875825013,Timber_Modern,559829.0,2.15106146,1.0,NH,2,50902124504
911,116.779498038,-31.875458856,Timber_Modern,372150.0,2.15106146,1.0,NH,2,50902124504
920,116.779648506,-31.875240083,URM_Modern,589582.0,2.15106146,1.0,NH,2,50902124504
929,116.779716209,-31.874983731,Timber_Modern,441750.0,2.15106146,1.0,NH,2,50902124504
950,116.780084346,-31.874633198,Timber_Modern,320822.0,2.15106146,1.0,NH,2,50902124504
959,116.780233117,-31.874391719,Timber_Modern,495249.0,2.15106146,1.0,NH,2,50902124504
994,116.780730068,-31.873522738,URM_Modern,312650.0,2.15106146,1.0,NH,2,50902124504
1180,116.774737222,-31.892983525,UA7_base,883975.0,4.14545454,1.0,H,2,50902124506
1271,116.774976873,-31.892823078,UA7_base,883975.0,4.14545454,1.0,NH,2,50902124506
1444,116.77511393,-31.892996303,UA7_base,883975.0,4.14545454,1.0,NH,2,50902124506
1273,116.775083533,-31.892280463,URM_Modern,607674.0,1.88213166,1.0,NH,2,50902124506
1182,116.775396128,-31.892916516,UA1_base,728891.0,1.88213166,1.0,H,2,50902124506
190,116.767902606,-31.89264968,UA1_base,560411.0,1.58614336,1.0,NH,2,50902124508
191,116.767688237,-31.892583389,UA1_base,540802.0,1.58614336,1.0,NH,2,50902124508
189,116.76756854,-31.892780045,UA8_base,281113.0,1.58614336,1.0,NH,2,50902124508
188,116.767375573,-31.892854061,UA8_base,370024.0,1.58614336,1.0,NH,2,50902124508
